darcy,manning,hazen
0.04432957836072089,0.16930960115189986,0.09730901006279513
0.04368827309299123,0.15681534369767033,0.08133971696069497
0.04512697165988935,0.1642876872866933,0.08147142115418529
0.036330340307161306,0.13150037196742057,0.0638029037005605
0.04228791024323724,0.1546525184683474,0.08496853881050298
0.04327128166830193,0.15892740238533867,0.07812812546112027
0.035537938548233616,0.13182827285574458,0.07178819024540647
0.03811558542468854,0.13933864504262058,0.07125857568136916
0.05692932408559452,0.20894379220918094,0.10819942806310527
0.045168921909795864,0.16686481729307986,0.0817809510605548
0.04299194039574497,0.1586095005022516,0.0863549291448656
0.04207120060386139,0.15449009127942895,0.07814131478510386
0.047534783304092235,0.17130221859841485,0.08491725555383767
0.05394503471176559,0.2026665380501521,0.10789926931766747
0.04366195254601026,0.15927407845863234,0.08158141503376938
0.038165606782084936,0.13429901600133182,0.06538759418533502
0.028932196796234943,0.10804616072049499,0.05745133513561558
0.045892441287466765,0.16753684082222314,0.08358423880821564
0.042873058812675904,0.16269245666165988,0.08983806315618825
0.03650112152193705,0.13663674868011022,0.0767773845414722
0.0411143606390775,0.15087290735005215,0.07765844276962056
0.044877256910107244,0.1616257394894356,0.0758848201033919
0.044915968900886005,0.16566266602218696,0.08538702799553806
0.052407005004351144,0.20544216223537873,0.12337089797587313
0.04312993195699077,0.16186220967639645,0.09297283692037041
0.045660297669261815,0.16506542151914003,0.0831364999906158
0.05953244726299428,0.22800917196588116,0.13210034032090637
0.04134460137932084,0.15211096291350643,0.08326583320906612
0.04913299629077515,0.1771160398082763,0.08815237707747714
0.04558164778037316,0.17011027949822177,0.09422957912816539
0.04084925616275537,0.15093873728588797,0.08458291063734287
0.04644568642462569,0.17704445492186727,0.09410864453534633
0.04212673923766031,0.15301492276803336,0.08167356636708528
0.052668258853281094,0.20136016516450922,0.1030615819923736
0.04609146312709632,0.1654563808189488,0.08356022513379957
0.0509846738652061,0.19736564334025664,0.11810253260760098
0.05024583973488171,0.1929640971287656,0.10793299611524175
0.04912041964764557,0.18375253633566546,0.09846942602794978
0.050322121124954086,0.18622678718134764,0.09319226216034485
0.049153134853533856,0.19067216179622604,0.1135986327105411
0.053593966790594375,0.2020155591547683,0.10245037280267193
0.03856980799944768,0.14252131088048373,0.07687892449821154
0.04962521301503633,0.18377969505062605,0.09875019405100294
0.04571450940454869,0.16136538611689058,0.09036771743732348
0.045871256223734704,0.16734082734670672,0.08169416100005203
0.044899465738403456,0.16536077166011603,0.08722168471436348
0.0518587282099801,0.19887282230259698,0.10999909294998979
0.04468472665458922,0.16683967613491893,0.09411938667511129
0.04417273346037373,0.16553179018815686,0.08961722121112653
0.039872215501089124,0.15115044845626785,0.09005725869740183
0.05291323237391869,0.19607323141479197,0.09898847175353578
0.045146208226784716,0.1691904391226627,0.08859635602962365
0.05019461509437393,0.18461360831979948,0.09291230299081937
0.0414820320637398,0.16016095310442444,0.09856906761285018
0.03815247272414725,0.14295463792842608,0.07922935450130764
0.04941594377231121,0.19160066513463203,0.11085106997195286
